mes;fecha;receptivo_m;receptivo_d;;receptivo_total;;;
1;ene-16;248684;248684;;248.684;;;
2;feb-16;211731;211731;;211.731;;;
3;mar-16;210862;210862;;210.862;;;
4;abr-16;182419;182419;;182.419;;;
5;may-16;176403;176403;;176.403;;;
6;jun-16;160586;160586;;160.586;;;
7;jul-16;205385;205385;;205.385;;;
8;ago-16;188354;188354;;188.354;;;
9;sep-16;187990;187990;;187.990;;;
10;oct-16;204246;204246;;204.246;;;
11;nov-16;230713;230713;;230.713;;;
12;dic-16;242419;242419;;242.419;;;
13;ene-17;246675;246675;;246.675;;;
14;feb-17;208332;208332;;208.332;;;
15;mar-17;215957;215957;;215.957;;;
16;abr-17;200426;200426;;200.426;;;
17;may-17;179443;179443;;179.443;;;
18;jun-17;167766;167766;;167.766;;;
19;jul-17;211456;211456;;211.456;;;
20;ago-17;193354;193354;;193.354;;;
21;sep-17;199160;199160;;199.160;;;
22;oct-17;224240;224240;;224.240;;;
23;nov-17;243719;243719;;243.719;;;
24;dic-17;255410;255410;;255.410;;;
25;ene-18;275610;275610;;275.610;;;
26;feb-18;214691;214691;;214.691;;;
27;mar-18;220918;220918;;220.918;;;
28;abr-18;202846;202846;;202.846;;;
29;may-18;184649;184649;;184.649;;;
30;jun-18;167422;167422;;167.422;;;
31;jul-18;215459;215459;;215.459;;;
32;ago-18;203628;203628;;203.628;;;
33;sep-18;216132;216132;;216.132;;;
34;oct-18;227543;227543;;227.543;;;
35;nov-18;261261;261261;;261.261;;;
36;dic-18;293385;293385;;293.385;;;
37;ene-19;321304;321304;;321.304;;;
38;feb-19;237633;237633;;237.633;;;
39;mar-19;261862;261862;;261.862;;;
40;abr-19;239694;239694;;239.694;;;
41;may-19;209733;209733;;209.733;;;
42;jun-19;197587;197587;;197.587;;;
43;jul-19;244027;244027;;244.027;;;
44;ago-19;216649;216649;;216.649;;;
45;sep-19;225687;225687;;225.687;;;
46;oct-19;225655;225655;;225.655;;;
47;nov-19;247326;247326;;247.326;;;
48;dic-19;306382;306382;;306.382;;;
49;ene-20;226591;275112;1,214;308.471;;;
50;feb-20;226591;222544;0,982;255.005;;;
51;mar-20;226591;236760;1,045;118.614;;;
52;abr-20;226591;215298;0,950;0;;;
53;may-20;226591;187374;0,827;0;;;
54;jun-20;226591;176555;0,779;0;;;
55;jul-20;226591;228622;1,009;495;;;
56;ago-20;226591;211037;0,931;890;;;
57;sep-20;226591;213508;0,942;1.392;;;
58;oct-20;226591;223485;0,986;1.829;;;
59;nov-20;226591;256537;1,132;3.897;;;
60;dic-20;226591;272257;1,202;7.865;;;
61;ene-21;226591;275112;1,214;8.229;;;
62;feb-21;226591;222544;0,982;3.648;;;
63;mar-21;226591;236760;1,045;5.784;;;
64;abr-21;226591;215298;0,950;4.959;;;
65;may-21;226591;187374;0,827;3.361;;;
66;jun-21;226591;176555;0,779;2.643;;;
67;jul-21;226591;228622;1,009;2.004;;;
68;ago-21;226591;211037;0,931;1.883;;;
69;sep-21;226591;213508;0,942;1.959;;;
70;oct-21;226591;223485;0,986;9.770;;;
71;nov-21;226591;256537;1,132;35.285;;;
72;dic-21;226591;272257;1,202;53.384;;;
73;ene-22;226591;275112;1,214;65.077;;;
74;feb-22;226591;222544;0,982;54.803;;;
75;mar-22;226591;236760;1,045;86.454;;;
76;abr-22;226591;215298;0,950;117.027;;;
77;may-22;226591;187374;0,827;112.595;;;
78;jun-22;226591;176555;0,779;104.309;;;
79;jul-22;226591;228622;1,009;147.686;;;
80;ago-22;226591;211037;0,931;143.140;;;
81;sep-22;226591;213508;0,942;147.480;;;
82;oct-22;226591;223485;0,986;165.092;;;
83;nov-22;226591;256537;1,132;196.077;;;
84;dic-22;226591;272257;1,202;183.609;;;
85;ene-23;239235;239235;;239.235;;;
86;feb-23;205935;205935;;205.935;;;
87;mar-23;221206;221206;;221.206;;;
88;abr-23;222626;222626;;222.626;;;
89;may-23;196288;196288;;196.288;;;
90;jun-23;199427;199427;;199.427;;;
91;jul-23;263563;263563;;263.563;;;
92;ago-23;236928;236928;;236.928;;;
93;sep-23;239336;239336;;239.336;;;
94;oct-23;262043;262043;;262.043;;;
95;nov-23;311342;311342;;311.342;;;
96;dic-23;274711;274711;;274.711;;;
97;ene-24;327427;327427;;327.427;;;
98;feb-24;256687;256687;;256.687;;;
99;mar-24;278366;278366;;278.366;;;
100;abr-24;224410;224410;;224.410;;;
101;may-24;182803;182803;;182.803;;;
102;jun-24;169847;169847;;169.847;;;
103;jul-24;232026;232026;;232.026;;;
104;ago-24;222066;222066;;222.066;;;
105;sep-24;211287;211287;;211.287;;;
106;oct-24;198780;198780;;198.780;;;
107;nov-24;252963;252963;;252.963;;;
108;dic-24;272427;272427;;272.427;;;
109;ene-25;268081;268081;;;;;
